datetime,open,high,low,close,volume
2026-09-01 00:00:00,1.0000,1.0005,0.9995,1.0002,100
2026-09-01 00:01:00,1.0002,1.0006,1.0000,1.0004,120
2026-09-01 00:02:00,1.0004,1.0007,1.0001,1.0005,110
2026-09-01 00:03:00,1.0005,1.0008,1.0003,1.0006,130
2026-09-01 00:04:00,1.0006,1.0010,1.0004,1.0009,140
2026-09-01 00:05:00,1.0009,1.0012,1.0007,1.0010,150
2026-09-01 00:06:00,1.0010,1.0013,1.0008,1.0011,160
2026-09-01 00:07:00,1.0011,1.0014,1.0009,1.0012,150
2026-09-01 00:08:00,1.0012,1.0016,1.0010,1.0015,140
2026-09-01 00:09:00,1.0015,1.0018,1.0012,1.0016,130
2026-09-01 00:10:00,1.0016,1.0019,1.0014,1.0017,120
2026-09-01 00:11:00,1.0017,1.0020,1.0015,1.0019,110
2026-09-01 00:12:00,1.0019,1.0022,1.0017,1.0021,100
2026-09-01 00:13:00,1.0021,1.0024,1.0019,1.0023,105
2026-09-01 00:14:00,1.0023,1.0026,1.0020,1.0024,110
2026-09-01 00:15:00,1.0024,1.0027,1.0022,1.0025,115
2026-09-01 00:16:00,1.0025,1.0028,1.0023,1.0026,120
2026-09-01 00:17:00,1.0026,1.0029,1.0024,1.0027,125
2026-09-01 00:18:00,1.0027,1.0030,1.0025,1.0029,130
2026-09-01 00:19:00,1.0029,1.0032,1.0027,1.0031,135
2026-09-01 00:20:00,1.0031,1.0034,1.0029,1.0032,140
2026-09-01 00:21:00,1.0032,1.0035,1.0030,1.0034,145
2026-09-01 00:22:00,1.0034,1.0037,1.0032,1.0036,150
2026-09-01 00:23:00,1.0036,1.0039,1.0034,1.0038,155
2026-09-01 00:24:00,1.0038,1.0041,1.0036,1.0040,160
2026-09-01 00:25:00,1.0040,1.0043,1.0038,1.0041,165
2026-09-01 00:26:00,1.0041,1.0044,1.0039,1.0042,170
2026-09-01 00:27:00,1.0042,1.0045,1.0040,1.0043,175
2026-09-01 00:28:00,1.0043,1.0046,1.0041,1.0045,180
2026-09-01 00:29:00,1.0045,1.0048,1.0043,1.0046,185
2026-09-01 00:30:00,1.0046,1.0049,1.0044,1.0047,190
2026-09-01 00:31:00,1.0047,1.0050,1.0045,1.0049,195
2026-09-01 00:32:00,1.0049,1.0052,1.0047,1.0051,200
2026-09-01 00:33:00,1.0051,1.0054,1.0049,1.0053,205
2026-09-01 00:34:00,1.0053,1.0056,1.0051,1.0055,210
2026-09-01 00:35:00,1.0055,1.0058,1.0053,1.0057,215
2026-09-01 00:36:00,1.0057,1.0060,1.0055,1.0059,220
2026-09-01 00:37:00,1.0059,1.0062,1.0057,1.0061,225
2026-09-01 00:38:00,1.0061,1.0064,1.0059,1.0063,230
2026-09-01 00:39:00,1.0063,1.0066,1.0061,1.0065,235
2026-09-01 00:40:00,1.0065,1.0068,1.0063,1.0067,240
2026-09-01 00:41:00,1.0067,1.0070,1.0065,1.0069,245
2026-09-01 00:42:00,1.0069,1.0072,1.0067,1.0071,250
2026-09-01 00:43:00,1.0071,1.0074,1.0069,1.0073,255
2026-09-01 00:44:00,1.0073,1.0076,1.0071,1.0075,260
2026-09-01 00:45:00,1.0075,1.0078,1.0073,1.0077,265
2026-09-01 00:46:00,1.0077,1.0080,1.0075,1.0079,270
2026-09-01 00:47:00,1.0079,1.0082,1.0077,1.0081,275
2026-09-01 00:48:00,1.0081,1.0084,1.0079,1.0083,280
2026-09-01 00:49:00,1.0083,1.0086,1.0081,1.0085,285
2026-09-01 00:50:00,1.0085,1.0088,1.0083,1.0087,290
2026-09-01 00:51:00,1.0087,1.0090,1.0085,1.0089,295
2026-09-01 00:52:00,1.0089,1.0092,1.0087,1.0091,300
2026-09-01 00:53:00,1.0091,1.0094,1.0089,1.0093,305
2026-09-01 00:54:00,1.0093,1.0096,1.0091,1.0095,310
2026-09-01 00:55:00,1.0095,1.0098,1.0093,1.0097,315
